ref_vol,aero_linked,jour_vol,time_en_air,etat_voyant,temp en °C,pressure en hPa,vibrations en m/s²
V01629781,B777_5688,2024-06-02,8.1,0,4.5,928.4,4.337
V01412177,E175_4082,2024-06-02,4.4,0,-6.0,926.3,0.129
V01361835,E170_0081,2024-06-02,5.7,1,-2.1,988.5,2.695
V06478671,A380_0594,2024-06-02,3.5,0,4.5,929.7,3.882
V07542081,E175_6729,2024-06-02,6.0,0,11.9,925.5,3.324
V01256609,A340_2793,2024-06-02,5.5,0,-11.9,903.9,0.844
V03247079,B757_2908,2024-06-02,5.8,0,8.4,945.0,4.167
V06414465,A350_0643,2024-06-02,5.0,0,8.1,894.3,0.822
V09443852,B737_0616,2024-06-02,0.6,0,-7.8,864.0,2.086
V03632700,B747_4211,2024-06-02,8.0,0,-8.4,954.2,4.212
V07772916,A320_6731,2024-06-02,4.3,0,6.5,968.4,2.169
V08709900,A320_6242,2024-06-02,1.8,0,12.6,865.2,3.331
V09911367,A380_4294,2024-06-02,7.2,0,3.1,915.0,3.108
V09317154,B747_4659,2024-06-02,0.6,0,-2.9,956.1,1.298
V06787760,A380_3162,2024-06-02,5.6,0,-4.3,980.6,3.82
V02548469,B757_6477,2024-06-02,5.7,0,-2.7,983.6,1.487
V01981346,B747_4152,2024-06-02,4.9,0,2.5,959.7,2.575
V07487588,A320_3521,2024-06-02,0.6,0,3.7,903.1,0.942
V08048016,B747_4007,2024-06-02,6.3,0,6.7,983.0,3.174
V02022424,E170_6723,2024-06-02,9.1,0,-8.3,889.2,1.439
V05466029,B737_1524,2024-06-02,6.0,0,6.1,923.1,0.145
V08381968,A350_2804,2024-06-02,2.7,0,-7.5,955.9,4.486
V03649246,B777_4962,2024-06-02,5.6,0,12.8,928.9,2.823
V08282070,CRJ700_1002,2024-06-02,1.0,0,-1.9,1000.6,4.735
V04037217,A321_4232,2024-06-02,6.6,1,-16.7,957.1,3.202
V09869941,B777_3944,2024-06-02,10.4,1,3.1,943.7,1.474
V03834833,E170_6913,2024-06-02,6.2,0,-1.7,956.7,0.565
V07480208,CRJ900_3675,2024-06-02,3.4,0,-7.1,1053.1,0.177
V00477759,A340_6943,2024-06-02,4.8,0,3.2,957.8,2.532
V02930702,A330_4686,2024-06-02,5.1,0,-8.5,925.2,2.14
V06422209,E175_3843,2024-06-02,7.3,0,-8.0,1040.3,1.284
V04107192,CRJ700_6943,2024-06-02,7.9,1,-13.9,963.5,0.456
V00614887,A330_3548,2024-06-02,1.2,0,8.2,905.9,2.151
V06548316,A321_0181,2024-06-02,6.1,0,2.1,1038.6,0.524
V08603436,B737_0940,2024-06-02,3.6,0,-5.6,879.2,1.194
V09764993,B757_4533,2024-06-02,4.5,0,-3.1,944.2,0.104
V04074377,A320_1930,2024-06-02,7.9,0,3.6,978.0,0.126
V02890494,E175_5586,2024-06-02,6.9,0,14.1,1005.6,1.897
V00311367,B737_2975,2024-06-02,2.8,0,-9.2,988.0,2.871
V03565329,A340_2827,2024-06-02,3.9,0,4.4,1004.5,4.386
V06481484,A350_4789,2024-06-02,3.5,0,4.8,879.0,1.801
V09447011,E175_6879,2024-06-02,6.6,0,0.6,918.4,4.412
V09482904,B767_2368,2024-06-02,3.5,0,5.5,994.1,4.435
V00059310,A330_4856,2024-06-02,8.8,0,12.7,943.9,4.528
V09608237,CRJ900_4821,2024-06-02,2.8,1,8.0,936.8,4.661
V03887233,A380_0178,2024-06-02,9.2,0,18.6,914.4,1.677
V03324901,A340_6933,2024-06-02,5.2,0,-5.8,927.8,2.96
V09628538,CRJ700_2988,2024-06-02,7.9,0,-6.1,906.0,0.592
V02788505,A350_5568,2024-06-02,1.7,0,-2.1,910.8,2.4
V00182650,A380_6924,2024-06-02,6.9,1,-16.7,987.1,0.446
V00315208,A321_3707,2024-06-02,4.0,0,4.5,936.4,0.807
V06531875,CRJ900_4042,2024-06-02,0.6,0,-1.0,1026.6,3.886
V08463212,A330_6573,2024-06-02,2.9,0,2.6,962.9,0.628
V04021787,A380_5199,2024-06-02,6.2,0,1.3,991.2,2.67
V09024946,B757_1844,2024-06-02,2.1,0,2.1,906.1,0.439
V08808415,A340_4662,2024-06-02,10.5,0,5.0,941.6,3.486
V03575726,A340_4021,2024-06-02,9.3,0,-10.4,922.8,2.503
V01602497,A340_1505,2024-06-02,5.2,0,-7.0,898.2,0.751
V01068652,E170_3927,2024-06-02,6.1,0,0.4,865.4,4.608
V02245014,A380_3155,2024-06-02,2.9,0,-4.7,928.5,4.092
V07835166,CRJ700_1442,2024-06-02,5.1,3,-0.0,957.3,1.666
V02818045,B757_0697,2024-06-02,3.7,0,4.7,951.5,3.786
V09092482,B747_5273,2024-06-02,8.7,0,-3.2,1035.5,0.733
V01941224,A330_2982,2024-06-02,12.1,1,22.4,961.4,2.796
V03152252,B747_2389,2024-06-02,3.6,0,8.8,914.3,0.266
V09795782,A330_4129,2024-06-02,1.5,0,-1.4,872.1,2.359
V07678580,B747_2846,2024-06-02,8.6,0,-5.3,866.8,0.33
V06477218,B757_4595,2024-06-02,4.7,1,-15.8,967.0,0.532
V03133569,B737_1256,2024-06-02,6.4,0,-6.4,966.1,3.601
V01537338,E170_2943,2024-06-02,6.4,1,-18.3,973.3,2.083
V01318087,A350_6495,2024-06-02,5.9,0,2.8,949.4,3.03
V04468315,B777_3776,2024-06-02,1.3,0,-6.0,925.1,2.229
V09736093,A320_6678,2024-06-03,3.8,0,-1.9,941.7,3.74
V09883685,B767_4217,2024-06-03,3.8,0,17.6,900.3,3.643
V03790223,CRJ900_4042,2024-06-03,4.3,0,0.7,967.9,4.115
V04838384,E175_6879,2024-06-03,9.0,0,17.3,955.5,0.587
V07376174,A350_6031,2024-06-03,3.8,0,2.6,992.9,1.636
V01931439,A321_6807,2024-06-03,4.3,0,-10.8,874.6,2.712
V04968916,A340_4662,2024-06-03,1.4,0,-5.7,944.0,0.072
V08488719,B757_1844,2024-06-03,6.8,0,-0.5,1007.5,1.417
V03942084,A340_1505,2024-06-03,5.7,0,-6.1,1003.3,0.02
V08111570,B737_2262,2024-06-03,9.7,0,-5.8,916.4,3.031
V05609406,B737_1524,2024-06-03,5.1,0,8.4,980.4,2.651
V07046563,B737_0616,2024-06-03,8.2,0,11.4,919.2,1.012
V07038546,B767_0906,2024-06-03,1.0,0,8.3,984.5,2.907
V00470113,A380_5199,2024-06-03,3.4,0,0.8,1000.5,3.198
V02389827,B777_0122,2024-06-03,3.8,0,6.3,1010.2,2.444
V07354076,A330_6573,2024-06-03,5.2,1,-12.6,961.7,3.562
V00924697,B777_4029,2024-06-03,7.5,0,1.6,880.6,2.008
V07001144,B777_5963,2024-06-03,6.1,1,-22.5,974.3,3.461
V02299236,CRJ900_3749,2024-06-03,6.6,0,17.8,867.7,1.502
V00606139,A350_4039,2024-06-03,7.6,0,11.7,911.4,4.38
V04842050,A380_0594,2024-06-03,8.7,0,2.4,872.4,3.817
V08217077,B757_0697,2024-06-03,2.5,0,0.7,960.4,2.571
V01884934,B767_2315,2024-06-03,1.3,0,9.1,1009.7,1.037
V02447478,B757_4533,2024-06-03,3.4,1,-19.3,923.1,3.929
V06155486,E175_2945,2024-06-03,7.1,0,1.6,882.4,2.082
V00757653,A350_4789,2024-06-03,7.4,0,-5.0,978.1,2.104
V06592615,CRJ900_5426,2024-06-03,3.1,0,0.5,919.3,0.188
V02682834,B767_4924,2024-06-03,3.9,0,-0.2,1032.1,1.729
V06290730,CRJ900_1943,2024-06-03,4.0,0,7.2,965.7,4.271
V09431912,A340_1384,2024-06-03,6.3,0,-5.8,964.4,1.197
V07397038,E170_5551,2024-06-03,4.7,0,-6.9,932.4,3.695
V09026841,A380_2017,2024-06-03,4.0,0,-3.9,1030.1,4.98
V03077385,A380_0553,2024-06-03,4.2,0,-6.8,935.7,1.421
V09241748,CRJ700_3108,2024-06-03,7.7,0,-6.8,942.8,4.888
V03455570,B777_6867,2024-06-03,5.9,1,-1.8,908.8,2.789
V08544531,A330_4046,2024-06-03,4.9,0,14.2,931.6,4.876
V03126737,E170_5551,2024-06-03,4.1,0,-0.4,957.7,4.474
V07812281,CRJ900_2577,2024-06-03,6.4,0,-5.1,818.8,0.845
V04931193,E170_3393,2024-06-03,4.5,0,6.7,932.2,1.712
V05706726,B777_0908,2024-06-03,1.5,1,-13.6,981.8,1.132
V05839472,E175_5414,2024-06-03,2.2,0,16.7,865.0,4.759
V07071560,B737_4369,2024-06-03,7.9,0,16.0,953.0,4.88
V06460637,A350_0643,2024-06-03,5.8,0,3.6,927.8,3.066
V09428446,B767_5422,2024-06-03,8.4,1,-17.0,1045.6,1.746
V06091437,CRJ700_4386,2024-06-03,1.0,0,-5.9,940.1,3.137
V03584280,A380_6283,2024-06-03,5.5,0,-5.0,859.4,1.308
V09863205,A320_6731,2024-06-03,6.4,1,-16.7,932.1,1.409
V03868272,B757_6092,2024-06-03,3.7,0,5.3,1003.8,4.084
V05479733,A380_6907,2024-06-03,6.0,0,7.8,967.3,3.782
V06660880,B777_6740,2024-06-03,0.9,0,4.5,944.6,0.103
V08903414,CRJ900_3675,2024-06-03,5.0,0,-3.7,985.2,1.669
V02246612,E170_1544,2024-06-03,7.2,1,25.9,925.2,0.83
V00456209,B767_2803,2024-06-03,7.5,0,-3.5,958.8,3.56
V04280090,B767_3878,2024-06-03,8.4,0,9.3,905.0,3.987
V05622034,B747_0472,2024-06-03,4.0,0,-9.1,972.5,4.405
V09893934,A330_1199,2024-06-03,10.8,1,-17.0,961.5,3.72
V03114701,A340_3962,2024-06-03,7.2,0,11.5,911.2,3.327
V05115198,A320_1930,2024-06-03,4.4,0,-4.2,922.6,1.777
V07838370,A380_2079,2024-06-03,5.4,0,12.1,997.4,0.629
V01647630,B747_2389,2024-06-03,9.0,0,10.7,868.0,4.919
V05691906,B747_4211,2024-06-03,5.2,0,-4.1,972.6,0.503
V00333008,A350_5568,2024-06-03,7.3,0,-7.9,876.5,2.209
V02443291,A330_3411,2024-06-03,2.8,0,-8.9,987.3,0.494
V00651813,CRJ700_3181,2024-06-03,5.6,0,8.7,954.4,2.252
V08676691,A340_2793,2024-06-03,4.3,0,2.4,1074.1,2.696
V04279278,B747_4824,2024-06-03,8.1,0,-9.1,943.0,3.875
V04193381,A380_0178,2024-06-03,4.7,0,3.9,913.3,0.36
V08835972,A350_3976,2024-06-03,5.7,0,-3.1,926.1,0.947
V04849483,B777_3000,2024-06-03,5.3,0,15.2,1018.4,4.416
V07106765,B747_0442,2024-06-03,5.1,1,-13.2,829.7,0.162
V00922138,E175_3327,2024-06-03,6.6,0,-7.5,944.3,1.072
V03053687,A350_6902,2024-06-03,3.9,0,5.6,940.9,0.287
V08649401,CRJ700_0969,2024-06-03,7.1,0,-5.8,983.6,2.373
V01339545,A320_3178,2024-06-03,4.3,0,-10.2,939.5,2.111
V04318384,A340_4940,2024-06-03,3.4,0,1.7,1041.4,3.197
V09413717,B767_2368,2024-06-03,7.1,0,-10.9,936.6,3.842
V00876680,A380_0710,2024-06-03,6.3,0,1.4,1024.8,4.926
V06783026,A320_6242,2024-06-04,6.2,1,-14.7,1009.1,0.015
V06810954,A380_5199,2024-06-04,2.1,0,2.9,1015.8,2.318
V05201226,A350_3122,2024-06-04,7.7,0,8.0,934.2,1.999
V05582404,B747_3165,2024-06-04,8.3,0,7.3,999.9,0.875
V01713095,A350_6452,2024-06-04,9.8,0,-11.4,946.7,1.552
V07614206,A330_3411,2024-06-04,4.9,0,-7.8,957.2,0.689
V05744905,B747_4211,2024-06-04,7.2,1,-12.3,892.5,0.726
V03092332,A350_6902,2024-06-04,3.7,1,-19.8,957.1,1.248
V05102349,B737_0616,2024-06-04,1.7,0,-0.3,859.7,4.948
V00539141,CRJ700_1968,2024-06-04,1.1,0,-0.9,916.7,4.225
V05677508,A350_6305,2024-06-04,8.7,0,-11.9,885.6,3.217
V07396424,A340_3214,2024-06-04,6.0,0,11.6,967.4,4.15
V08070798,A330_5146,2024-06-04,5.2,1,-12.6,901.8,1.974
V07247007,E170_0081,2024-06-04,2.0,0,-10.6,957.1,1.404
V05798957,E170_1130,2024-06-04,1.5,0,18.6,937.4,4.607
V04578433,E170_3393,2024-06-04,4.4,0,0.6,959.6,2.842
V04670188,B767_2803,2024-06-04,0.6,0,4.6,896.2,1.724
V08505773,B737_3303,2024-06-04,11.7,1,-3.5,868.8,4.519
V02419454,E170_6246,2024-06-04,3.3,0,9.8,889.7,2.178
V00336373,A350_6495,2024-06-04,4.2,0,-2.6,970.0,0.665
V07276176,B777_5397,2024-06-04,0.6,0,10.8,900.4,4.546
V02773871,B757_0375,2024-06-04,4.3,0,-9.8,924.7,1.587
V00544100,B737_0789,2024-06-04,1.8,0,-6.4,941.9,2.427
V00122593,A321_0473,2024-06-04,7.4,0,-10.2,950.6,2.853
V05879870,A330_0921,2024-06-04,4.7,0,-1.6,898.1,3.534
V01037863,A340_6943,2024-06-04,3.7,0,1.6,846.6,1.112
V03385610,A320_1884,2024-06-04,9.8,0,4.3,907.3,1.764
V03578909,A350_6092,2024-06-04,2.6,0,-1.0,885.1,1.053
V02028708,B767_2790,2024-06-04,8.0,1,-14.9,960.0,1.67
V00393387,A380_0178,2024-06-04,3.9,0,-10.5,961.6,1.743
V07686721,CRJ900_5426,2024-06-04,8.1,0,-2.3,855.1,3.675
V08465274,B767_0277,2024-06-04,4.4,0,-9.9,997.8,0.242
V02665939,B767_2368,2024-06-04,6.5,0,10.3,997.1,2.487
V08703164,E170_3927,2024-06-04,2.7,0,3.5,974.1,2.275
V05844758,A350_5434,2024-06-04,5.6,0,12.8,929.3,1.065
V04265980,A330_6979,2024-06-04,7.2,0,-2.7,887.7,1.12
V04377837,B747_6297,2024-06-04,4.1,0,-0.6,916.8,4.267
V07362994,A350_2655,2024-06-04,5.6,0,-7.6,840.5,0.644
V06380938,A380_2079,2024-06-04,4.5,0,14.9,982.9,4.532
V08536278,E175_2977,2024-06-04,8.7,1,-20.0,901.0,1.158
V00329192,B737_0940,2024-06-04,0.6,0,7.6,866.4,0.701
V03751463,B777_3776,2024-06-04,1.5,0,5.5,913.9,1.585
V05865861,A321_3707,2024-06-04,1.5,0,5.3,913.3,3.095
V04379529,A320_3178,2024-06-04,4.8,0,7.0,925.4,2.952
V06527710,A330_5998,2024-06-04,8.7,0,-1.7,916.7,4.863
V04304915,B767_3878,2024-06-04,0.6,0,5.7,1025.7,1.982
V05755587,E175_5414,2024-06-04,5.8,1,-15.6,885.5,4.1
V07574066,B767_4217,2024-06-04,3.4,0,-8.1,911.1,1.146
V09511050,A330_3548,2024-06-04,5.4,0,6.5,990.0,0.648
V01977052,A330_4686,2024-06-04,2.3,0,-2.4,862.7,0.8
V05578547,CRJ900_3675,2024-06-04,3.2,0,3.7,964.5,4.991
V00927680,A330_3519,2024-06-04,4.8,0,5.0,1036.0,4.109
V08087998,A321_5206,2024-06-04,4.2,0,9.2,955.3,0.149
V07228913,A380_6121,2024-06-04,7.9,0,-7.6,983.9,4.257
V05784464,A330_4046,2024-06-04,6.5,0,2.6,957.3,0.937
V00363429,B747_4725,2024-06-04,8.6,0,-6.8,949.0,1.149
V05715392,A320_4367,2024-06-04,4.5,1,-20.7,919.3,3.64
V06031079,CRJ700_3108,2024-06-04,7.9,0,-5.8,944.6,3.377
V01586561,B757_6477,2024-06-04,5.6,0,0.5,857.5,4.368
V05102729,CRJ700_3181,2024-06-04,5.4,1,-23.7,1006.0,4.562
V09121316,CRJ700_2189,2024-06-04,3.8,0,7.4,871.3,3.929
V08810945,E175_1426,2024-06-04,0.6,0,-7.9,971.9,3.392
V07259360,A380_6283,2024-06-04,0.9,0,2.9,942.5,1.709
V02321938,B777_3944,2024-06-04,8.1,0,-8.9,1016.0,0.787
V07110769,B777_5812,2024-06-04,4.3,0,2.7,1029.0,1.254
V07751859,B757_6806,2024-06-04,0.6,0,-3.1,915.8,3.291
V00922297,A320_2237,2024-06-04,5.4,0,4.8,905.1,1.052
V00568200,A340_6668,2024-06-04,3.2,0,3.7,1017.7,2.363
V09689548,B737_4369,2024-06-04,7.7,0,9.5,1009.2,2.202
V08085793,A330_6095,2024-06-04,6.7,0,2.2,920.3,3.013
V00694712,E175_2805,2024-06-04,6.2,0,-7.7,873.2,0.613
V08102611,A350_3976,2024-06-04,5.3,0,-0.2,902.7,3.34
V05051358,E175_2945,2024-06-04,4.1,0,5.6,952.8,0.16
V02794729,B777_4029,2024-06-04,6.9,0,-0.6,932.6,4.368
V00522446,CRJ900_1943,2024-06-04,4.9,0,-7.7,962.8,4.915
V04474980,A320_1930,2024-06-04,10.4,0,10.9,933.6,1.904
V01188885,E170_6353,2024-06-04,6.9,0,-2.2,980.7,1.235
V04261163,CRJ900_6738,2024-06-04,4.8,0,3.1,1035.7,3.476
V08077554,A330_2237,2024-06-04,2.2,0,3.9,1078.8,4.64
V03716740,E170_2943,2024-06-04,5.8,0,7.6,927.8,2.666
V01631603,E170_2583,2024-06-04,4.5,0,0.9,909.1,2.516
V06130120,B737_1936,2024-06-04,0.6,0,18.8,966.1,0.429
V05554052,A340_1505,2024-06-04,3.6,0,12.0,873.3,0.316
V07844710,A321_1460,2024-06-04,8.3,0,8.7,934.1,1.01
V01618630,A380_0594,2024-06-04,8.5,0,2.9,1011.7,3.342
V07050444,B747_2389,2024-06-04,4.2,0,17.9,1036.2,1.624
V06584722,A380_3162,2024-06-04,5.5,0,10.4,958.5,3.513
V06601952,E170_5551,2024-06-04,5.3,0,-6.1,920.9,1.16
V09596387,A330_6708,2024-06-04,4.0,0,-11.2,972.1,0.142
V01756275,B747_0472,2024-06-04,1.2,0,2.2,967.6,3.598
V04907244,A330_4129,2024-06-04,4.8,0,1.2,938.6,3.739
V05368435,B737_2262,2024-06-04,7.9,0,9.3,1025.0,2.785
V06961892,B747_4659,2024-06-04,3.3,0,3.0,944.3,2.531
V01547021,A320_6493,2024-06-04,2.4,0,6.5,940.7,2.606
V06151343,B767_4965,2024-06-04,5.8,1,-13.9,933.9,4.935
V00373105,B747_4824,2024-06-04,8.7,1,20.7,956.8,3.757
V07037970,A380_0710,2024-06-04,5.9,0,-4.6,929.3,3.822
V07783242,B757_2908,2024-06-04,5.1,1,-24.7,927.4,1.418
V04345620,A321_1968,2024-06-04,9.7,0,-0.8,1080.1,4.23
V05590224,E170_4783,2024-06-04,5.5,0,9.4,917.4,3.813
V00364123,CRJ900_4821,2024-06-04,3.4,0,16.7,928.0,4.127
V05090845,CRJ700_0969,2024-06-04,7.6,0,16.5,911.6,3.851
V03364448,B777_0122,2024-06-04,5.3,0,2.3,973.7,3.761
V00155519,A340_3614,2024-06-04,6.8,0,11.0,869.2,3.699
V06818877,B747_5273,2024-06-04,3.6,0,-7.8,922.1,4.105
V05110639,A350_4789,2024-06-04,4.0,0,9.2,930.7,1.282
V03006727,B767_5501,2024-06-04,7.2,0,-0.5,931.6,4.82
V05029166,A350_4039,2024-06-04,4.8,0,-4.4,973.2,0.344
V00849891,A320_2497,2024-06-04,7.3,0,2.9,974.9,4.105
V02049680,E175_5586,2024-06-04,4.6,0,10.1,991.1,4.418
V06981411,CRJ700_2863,2024-06-04,5.0,0,10.1,889.6,1.232
V02068934,A340_6933,2024-06-04,5.8,0,0.4,906.7,2.661
V03315272,B747_5923,2024-06-04,3.8,0,-7.1,937.3,3.962
V06768236,B747_1988,2024-06-04,3.3,0,-2.8,894.5,2.141
V06431541,A340_3962,2024-06-04,5.0,0,-7.2,899.8,4.804
V09985804,CRJ700_4386,2024-06-04,4.6,0,4.1,942.4,1.72
V06301893,A380_2017,2024-06-04,3.8,0,-1.6,982.2,4.85
V04938486,A320_6678,2024-06-04,2.0,0,13.9,890.3,1.998
V06106198,B757_4595,2024-06-04,3.7,1,-20.9,905.9,2.97
V06683852,B737_0940,2024-06-05,0.6,0,17.8,904.2,0.561
V03551025,E175_6879,2024-06-05,5.2,0,-1.3,1029.6,1.283
V04512442,A320_2562,2024-06-05,7.9,0,16.4,1071.7,1.874
V06831692,A320_1884,2024-06-05,7.4,1,-24.3,905.9,3.429
V05264659,A321_3033,2024-06-05,3.6,0,5.3,1053.8,0.865
V01961332,A340_3887,2024-06-05,6.1,1,-13.5,948.3,3.827
V03023578,A380_3155,2024-06-05,6.0,0,-4.0,979.2,3.217
V09057132,CRJ700_2988,2024-06-05,2.8,0,-3.8,999.9,1.625
V00217717,A330_3519,2024-06-05,3.2,0,-6.4,955.3,0.545
V07533504,B747_4659,2024-06-05,9.0,0,0.8,934.4,1.678
V05130366,A320_3178,2024-06-05,4.5,0,9.7,868.5,1.937
V05438637,A340_4940,2024-06-05,7.6,0,-1.2,869.6,3.763
V00449016,A321_4232,2024-06-05,5.4,0,3.0,980.9,4.763
V09848261,B747_5923,2024-06-05,5.7,0,2.5,1016.6,4.424
V05337978,B747_2724,2024-06-05,4.5,0,8.9,992.3,0.878
V07549163,A340_1384,2024-06-05,7.0,0,-6.9,966.1,0.088
V04088043,B747_4007,2024-06-05,7.4,0,16.6,897.7,4.567
V03228954,A320_6814,2024-06-05,5.0,0,12.0,988.0,4.545
V08385015,B777_0122,2024-06-05,3.2,0,1.6,910.8,3.384
V06159497,A330_0921,2024-06-05,7.7,0,2.0,944.2,3.136
V02156712,A380_5199,2024-06-05,1.5,0,-5.2,919.2,1.537
V04933228,B777_5812,2024-06-05,6.5,0,5.6,969.9,1.412
V09450792,B747_4152,2024-06-05,8.2,0,2.2,985.0,0.556
V08387350,CRJ700_0545,2024-06-05,4.5,0,7.8,870.1,0.53
V03791207,CRJ900_2577,2024-06-05,3.6,0,8.7,962.0,2.374
V01683750,E175_2945,2024-06-05,8.6,0,-5.7,1027.9,3.369
V05435574,A380_6283,2024-06-05,5.1,0,-5.9,967.6,1.348
V05808742,A320_5229,2024-06-05,3.3,0,13.4,951.4,3.154
V06116383,A340_6943,2024-06-05,1.3,0,6.0,979.4,1.687
V08276767,E175_4558,2024-06-05,0.6,0,1.5,959.7,3.254
V09445565,A350_6495,2024-06-05,5.9,0,-4.3,1001.2,0.468
V01249983,A380_6878,2024-06-05,6.4,1,-16.4,1031.7,1.587
V04999800,B767_2368,2024-06-05,6.7,0,-8.1,1051.8,3.961
V07233889,B777_3000,2024-06-05,6.7,0,9.7,990.3,0.273
V03141463,E170_1145,2024-06-05,4.3,0,-3.8,944.8,1.384
V06182950,A380_3607,2024-06-05,3.8,1,-13.4,995.1,3.077
V05769013,A330_2237,2024-06-05,4.0,0,7.6,1021.3,3.933
V06912291,A330_6573,2024-06-05,2.9,0,2.1,994.2,3.388
V01119187,E170_4783,2024-06-05,5.4,0,5.4,884.9,2.251
V00247668,B777_6740,2024-06-05,2.8,0,0.2,977.1,1.437
V05126810,A350_6092,2024-06-05,12.1,1,0.9,904.4,0.939
V02460290,A350_6031,2024-06-05,2.8,1,21.8,955.4,2.492
V01764169,B777_5397,2024-06-05,4.6,0,-8.7,912.2,3.743
V02639622,CRJ900_6319,2024-06-05,3.6,0,-4.7,909.9,1.25
V06949556,B747_0262,2024-06-05,5.0,0,-0.6,944.8,4.873
V03462067,A330_3411,2024-06-05,5.0,0,3.8,968.3,1.642
V07844132,A340_2793,2024-06-05,7.5,1,-14.5,915.7,4.651
V06747092,E170_3927,2024-06-05,8.7,0,8.9,969.1,2.541
V08984180,A350_1689,2024-06-05,7.1,0,19.7,977.0,3.342
V08608127,A320_6493,2024-06-05,2.5,1,-13.3,979.0,2.404
V01865453,E170_6420,2024-06-05,2.4,1,-15.9,985.9,1.573
V06246796,A380_2079,2024-06-05,8.8,0,-0.1,891.7,2.928
V05893645,CRJ900_3374,2024-06-05,3.3,0,-2.1,909.7,3.136
V01470646,A340_4021,2024-06-05,4.6,0,4.3,847.6,2.069
V09763061,A330_4129,2024-06-05,0.6,0,-4.4,899.5,1.969
V09753976,A330_6708,2024-06-05,6.7,0,-10.0,937.0,1.5
V00500180,CRJ900_1943,2024-06-05,2.4,0,5.9,889.3,2.305
V02220466,A380_2017,2024-06-05,5.3,0,6.1,974.5,4.913
V02744446,E175_3843,2024-06-05,6.7,0,4.3,960.8,4.645
V05517513,E170_1544,2024-06-05,8.4,0,-3.0,975.0,4.838
V01108679,CRJ900_6738,2024-06-05,3.8,0,4.5,981.3,4.442
V00143239,E170_3393,2024-06-05,2.4,1,-18.4,947.5,2.442
V00940074,B757_0375,2024-06-05,2.9,0,-0.7,981.7,0.09
V06277099,B747_2389,2024-06-05,6.7,0,-6.8,917.8,4.59
V00935404,CRJ700_1788,2024-06-05,9.4,0,-5.6,970.3,2.14
V06020086,A380_0415,2024-06-05,2.3,0,8.7,988.7,0.924
V02831874,B767_2315,2024-06-05,6.4,0,-10.3,995.4,3.273
V00690384,A380_0178,2024-06-05,2.2,0,5.9,949.2,0.306
V07802777,B757_4533,2024-06-05,2.5,0,-3.7,956.7,0.451
V08236674,B747_4725,2024-06-05,2.9,0,4.8,980.6,3.078
V01759946,CRJ700_3699,2024-06-05,1.4,0,2.1,979.2,4.53
V06385747,A321_6807,2024-06-05,6.7,0,4.9,996.1,1.665
V09401804,B737_2975,2024-06-05,5.9,0,-10.1,891.3,3.289
V00127011,B737_0789,2024-06-05,4.0,0,-4.6,911.3,1.358
V01577021,A340_6668,2024-06-05,5.6,0,9.0,976.2,2.951
V08923960,A330_2982,2024-06-05,3.1,0,3.0,935.0,4.319
V09099601,B777_4029,2024-06-05,4.4,0,-3.6,1029.6,3.009
V08764828,CRJ700_3108,2024-06-05,4.6,0,-6.2,944.9,0.15
V06189577,A320_6678,2024-06-05,7.2,0,2.0,939.6,4.207
V09882555,E175_2963,2024-06-05,4.0,0,-5.9,976.4,4.388
